"itembase","itembase"
"API key","API key"
"Secret key","Secret key"
"Enable Debug mode (optional)","Enable Debug mode (optional)"
"Please select your shop from Configuration Scope before changing configuration.","Please select your shop from Configuration Scope before changing configuration."
"If you have no Itembase keys click here!","If you have no Itembase keys click here!"
"Registration error.","Registration error."
"Registration completed.","Registration completed."
"Click here to continue.","Click here to continue."
"Curl error.","Curl error."
"Email","Email"
"Firstname","Firstname"
"Lastname","Lastname"
"Register shop","Register shop"
"I accept itembase <a href='http://partners.itembase.com/docs/tac.pdf' target='_blank' style='text-decoration:underline;'>Terms</a>","I accept itembase <a href='http://partners.itembase.com/docs/tac.pdf' target='_blank' style='text-decoration:underline;'>Terms</a>"
"Register","Register"
"Accept itembase Terms first","Accept itembase Terms first"
